,Movie_Name,year,runtime,genre,Rating,director,stars,Votes
1132,Naan Mirugamaai Maara,2022,128,Action,4.2,Sathyasiva,"['Shankarnag Vijayan', 'Haripriya', 'Supergood Kannan', 'Sarath Kumar']",73
1133,Highway,2022,120,Thriller,3.8,K.V. Guhan,"['Abhishek Banerjee', 'Anand Deverakonda', 'Saiyami Kher', 'Manasa Radhakrishnan']",148
1134,JSK,2022,120,Drama,7.1,Pravin Narayanan,"['Shruti Ramachandran', 'Divya Pillai', 'Suresh Gopi', 'Anupama Parameswaran']",3368
1135,Dakuaan Da Munda 2,2022,141,Action,6.1,Mandeep Benipal,"['Dev Kharoud', 'Japji Khaira', 'Raj Singh Jhinjar', 'Balwinder Bullet']",172
1136,Two Men,2022,115,Drama,5.9,Satheesh Kumar,"['Donny Darwin', 'Arfaz Iqbal', 'Irshad', 'Kailash']",144
1137,Grandhalayam,2023,120,Mystery,8.0,Sai Shivan Jampana,"['Smrita Rani Borah', 'Alok Jain', 'Prabhakar Kalakeya', 'Vinnu Maddipati']",1072
1138,Mon Ampere,2023,83,Romance,9.8,Manoj Sri Harsha Divi,"['Manoj Sri Harsha Divi', 'Zaheer Ahmed', 'Gs Chalapathy']",12
1139,Archana 31 Not Out,2022,110,Comedy,5.7,Akhil Anilkumar,"['Aishwarya Lekshmi', 'Sruthy Suresh', 'Rajesh Madhavan', 'Remya Suresh']",781
1140,Sivudu,2022,89,Thriller,7.0,Suseenthiran,"['Aadhi', 'Nikki Galrani', 'V. Jayaprakash', 'Mukhtar Khan']",41
1141,Koshichaayante Paramb,2022,116,Crime,8.5,Saajir Sadaf,"['Jaffer Idukki', 'Rathesh Krishnan', 'Renu Soundar', 'Salim Kumar']",121
1142,Jannataan: A Journey of Emotions,2023,90,Romance,9.2,Satnaam Bhullar,"['Satnaam Bhullar', 'Dilraz Sidhu', 'Sunny Sandhu', 'Bhavkhandan Singh Rakhra']",5
1143,Spooky College,2023,133,Comedy,7.1,Bharath G,"['Kushee Ravi', 'Vivek Simha', 'Prithvi Rashtrakuta', 'Vijay Chendur']",38
1144,Sir Madam Sarpanch,2023,104,Comedy,7.1,Praveen Morchhale,"['Seema Biswas', 'Ajay Chourey', 'Jyoti Dubey', 'Ariana Sajnani']",109
1145,Communist Girlfriend Capitalist Boyfriend,2022,72,Comedy,7.1,Naveen Mullangi,"['Naveen Mullangi', 'Naveen Mullangi', 'Shiva Preethika Sukka', 'Shobhan Babu']",3368
1146,Rajahmundry Rose Milk,2022,120,Comedy,7.1,Naani Bandreddi,"['Naani Bandreddi', 'Jai Jasti', 'Ananthika Sanilkumar']",3368
1147,Screwdriver,2022,120,Thriller,7.1,Raman Bharadwaj,"['Tisca Chopra', 'Ronit Roy', 'Rajeev Khandelwal', 'Gulshan Grover']",3368
1148,IPL (It's Pure Love),2023,133,Drama,8.6,Suresh Lankalapalli,"['Suman', 'Krishna Murali Posani', 'Tanikella Bharani', 'Madhusudhan Rao']",1118
1149,Super Senior Heroes,2022,140,Drama,5.5,Karthik Kumar,"['Ambika', 'Bhagyaraj', 'Chinni Jayanth', 'Manobala']",59
1150,1996 Dharmapuri,2022,132,Action,6.6,Jagath,"['Tripura Nimmagadda', 'Aparna Devi', 'Janardhan', 'Naga Mahesh']",2008
1151,Nallamala,2022,132,Action,7.8,Ravi Charan,"['Amit Tiwari', 'Nassar', 'Prabhakar', 'Ajay Ghosh']",1449
1152,Ticket ek Sangharsh,2023,120,Thriller,9.7,Mahi Dubey,"['Mahi Dubey', 'Abhishek Vyas', 'Nirmal Soni', 'Sanjay Dubey']",6
1153,Buddy,2022,120,Action,7.1,Sam Anton,"['Sam Anton', 'Allu Sirish', 'Ajmal Ameer']",3368
1154,Vattam,2022,117,Drama,4.8,Kamalakannan,"['Sibiraj', 'Andrea Jeremiah', 'Athulya Ravi', 'Vamsi Krishna']",339
1155,Experiment 5,2023,126,Horror,7.1,Ashwin Chandran,"['Melvin Thanath', 'Devi Nanda', 'Rishi Suresh', 'Sree Padma']",3368
1156,Jerry,2022,120,Comedy,7.1,Anish Uday,"['Anish Uday', 'Pramod Velliyanad', 'Kottayam Nazeer']",3368
1157,English Manja,2023,120,Crime,9.1,Arya M. Mahesh,"['Pramod Panju', 'V. Nagendra Prasad', 'Suneel Puranik', 'Thejaswini Sharma']",1089
1158,Visudha Mejo,2022,121,Comedy,8.6,Kiran Antony,"['Dinoy Poulose', 'Mathew Thomas', 'Lijo Mol Jose', 'Abhiram Radhakrishnan']",63
1159,"Max, Min and Meowzaki",2022,147,Comedy,8.1,Padmakumar Narasimhamurthy,"['Nafisa Ali', 'Vidhatri Bandi', 'Mandira Bedi', 'Adil Hussain']",23
1160,Coffee with Kadhal,2022,144,Comedy,4.6,Sundar C.,"['Jiiva', 'Amritha Aiyer', 'Arya', 'Yogi Babu']",518
1161,Tees Maar Khan,2022,130,Action,5.8,Kalyanji Gogana,"['Haji Mohammed', 'Aadi', 'Arjun Ambati', 'Appu']",2237
1162,Picasso,2023,120,Action,9.5,Sunil Karayattukara,"['Ashish Gandhi', 'Jaffer Idukki', 'Charlie Joe', 'Jithu Jogi']",505
1163,Scene Number 36 Malavika Veedu,2023,120,Action,7.1,Suresh Sopanam,"['Kailash', 'Hareesh Kanaran', 'Sarath Kumar', 'Sasankan Mayyanad']",3368
1164,Kaal Trighori,2023,120,Horror,7.1,Nitin Vaidya,"['Arbaaz Khan', 'Mahesh Manjrekar', 'Aditya Srivastav', 'Rituparna Sengupta']",3368
1165,Case 30,2022,120,Crime,9.0,Sandeep Pydimarri,"['Sandeep Pydimarri', 'Siddharth Naidu', 'Shamili Uniyal', 'Tanvi Gawade']",1158
1166,Khel Khel Mein,2022,120,Comedy,7.1,Mudassar Aziz,"['Mudassar Aziz', 'Akshay Kumar']",3368
1167,Kannitheevu,2023,120,Action,2.7,Sundar Balu,"['Aishwarya Dutta', 'Subiksha Krishnan', 'Lollu Sabha Maaran', 'Motta Rajendran']",31
1168,Raymo,2022,157,Drama,7.3,Pawan Wadeyar,"['Rajesh Nataranga', 'Ishaan', 'Achyuth Kumar', 'Madhoo']",156
1169,Shekar,2022,131,Action,8.4,Jeevitha Rajashekhar,"['Rajasekhar', 'Shivani Rajashekar', 'Muskaan Khubchandani', 'Athmeeya Rajan']",125
1170,Bandhu,2022,120,Comedy,7.4,Tridip Lahon,"['Nayan Nilim', 'Vivek Bora', 'Jyotishman', 'Bonny Deori']",43
1171,Bujji Ila Raa,2022,120,Thriller,6.8,Anji,"['Akella', 'Surya Ale', 'Ananth', 'Anu']",2279
1172,Organic Mama Hybrid Alludu,2023,120,Action,7.4,S.V. Krishna Reddy,"['Mohammad Ali', 'Krishna Bhagavaan', 'Harsha Chemudu', 'Ajay Ghosh']",1178
1173,Section 306-IPC,2023,149,Crime,9.2,Sreenath Shiva,"['Rahul Madhav', 'Mareena', 'Renji Panicker', 'Shantikrishna']",109
1174,Golgappe,2023,131,Comedy,4.7,Smeep Kang,"['Rajat Bedi', 'Binnu Dhillon', 'Ihana Dhillon', 'Navneet Kaur Dhillon']",91
1175,B 32 Muthal 44 Vare,2023,108,Drama,6.4,Shruthi Sharanyam,"['Ashwathy', 'Neena Cheriyan', 'Sajin Cherukayil', 'Gibin Gopinath']",39
1176,Sohreyan Da Pind Aa Gaya,2022,140,Drama,5.5,Ksshitij Chaudhary,"['Gurnam Bhullar', 'Sargun Mehta', 'Mintu Kapa', 'Jass Bajwa']",631
1177,Mrs. Falani,2023,120,Drama,7.1,Manish Kishore,"['Swara Bhasker', 'Rajesh Bonik', 'Ankita Rajpoot', 'Siddharth Nirala']",3368
1178,Romanticc Tukde,2023,100,Drama,7.1,Varadraj Swami,"['Nikunj Malik', 'Brijeshkumar Jha', 'Vivekanand Jha', 'Vijay Bansal']",3368
1179,Tez Raftaaar,2022,120,Drama,9.3,Sunanda Shyamal Mitra,"['Sunanda Shyamal Mitra', 'Anurag Mishra', 'Siddharth Nigam', 'Jannat Zubair Rahmani']",16
1180,Tantra,2023,120,Horror,7.1,Ram Raja Dwivedi,"['Ram Raja Dwivedi', 'Sargun Mehta', 'Daizel Carol Cutinho', 'Royal Munda OJ']",3368
1181,Oye Jassi Oye,2023,120,Comedy,9.9,Ganya Rajput,"['Ganya Rajput', 'Ashish Bhat', 'Ganya Rajput']",68
1182,Vishu,2022,120,Drama,9.6,Mayur Madhukar Shinde,"['Mrinmayee Godbole', 'Sunny Kamble', 'Gashmeer Mahajani', 'Pradnesh Tari']",23
1183,Pokhar Ke Dunu Paar,2022,105,Drama,6.4,Parth Saurabh,"['Abhinav Jha', 'Tanaya Khan Jha', 'Dheeraj Kumar', 'Sheelnidhi']",14
1184,Naan Kadavul Illai,2023,120,Drama,8.6,S.A. Chandrashekhar,"['Sakshi Agarwal', 'Imman Annachi', 'Iniya', 'Rohini']",35
1185,Avatara Purusha: Part 1,2022,128,Comedy,6.4,Suni,"['Sharan', 'Ashika Ranganath', 'Sai Kumar', 'Sudharani']",471
1186,Prayashaha,2022,127,Thriller,8.5,Ranjith Rao,"['Rahul Amin', 'Krishnaa Bhat', 'Vineeth Kumar', 'Shine Shetty']",2262
1187,Love You Mahri Jaan (Rajasthani),2022,137,Drama,8.6,Manoj Kumar Panday,"['Anshul Awasthi', 'Anil Bhagwat', 'Ankit Bhardwaj', 'Surbhi Bhardwaj']",41
1188,Vazhakku,2022,94,Crime,6.0,Sanal Kumar Sasidharan,"['Tovino Thomas', 'Kani Kusruti', 'Sudev Nair', 'Azees Nedumangad']",6
1189,Let's Get Married,2022,120,Comedy,7.1,Ramesh Tamilmani,"['Harish Kalyan', 'Ivana', 'Yogi Babu', 'Nadia Moidu']",3368
1190,Shivpratap Garudjhep,2022,135,History,8.1,Kartik Rajaram Kendhe,"['Amol Kolhe', 'Harak Amol Bhartiya', 'Shailesh Datar', 'Harish Dudhade']",343
1191,Mann Kasturi Re,2022,120,Mystery,6.4,Sanket Mane,"['Abhinay Berde', 'Tejasswi Prakash', 'Vinamra Babhal', 'Rajshri Deshpande']",2015
1192,Jigarthanda DoubleX,2023,120,Action,7.1,Karthik Subbaraj,"['Karthik Subbaraj', 'Raghava Lawrence', 'S.J. Suryah', 'Nimisha Sajayan']",3368
1193,Chattambi,2022,122,Drama,4.2,Abhilash S Kumar,"['Grace Antony', 'Sreenath Bhasi', 'Sherin Catherine', 'Chemban Vinod Jose']",327
1194,Prince,2022,143,Action,4.4,Anudeep K.V.,"['Premgi Amaren', 'Anandraj', 'Finally Bharath', 'Carl A. Harte']",3058
1195,3rd October,2023,120,Drama,7.1,Vineet Jha,"['Moin Khan', 'Hiten Tejwani', 'Sneha Ullal', 'Kanchi Singh']",3368
1196,The Astronaut and His Parrot,2022,120,Sci-Fi,7.1,Arati Kadav,"['Arati Kadav', 'Ali Fazal']",3368
1197,Moksha,2022,120,Crime,9.6,Samarth Naik,"['Mohan Dhanraj', 'Thaarak Ponnappa', 'Aradhya Laxman', 'Bhoomi Agnani']",47
